Plant Name and Disease,Sunlight,Water,Water in liters,Cure
Pepper__bell___Bacterial_spot,6-8 hours of direct sunlight,Keep soil consistently moist but not waterlogged,1-1.5 liters per day,Remove infected leaves and apply copper-based fungicides
Pepper__bell___healthy,6-8 hours of direct sunlight,Water when the top 1 inch of soil is dry,1 liter per day,"No disease detected, maintain healthy growth practices"
Potato___Early_blight,Full sun,"Water deeply, allowing soil to dry between waterings",1-1.5 liters per day,Apply fungicides and remove affected leaves
Potato___Late_blight,Full sun,Keep soil evenly moist but avoid overwatering,1-1.5 liters per day,Use resistant varieties and apply appropriate fungicides
Potato___healthy,Full sun,Water when the top 2 inches of soil are dry,1-1.5 liters per day,"No disease detected, maintain healthy growth practices"
Tomato_Bacterial_spot,6-8 hours of direct sunlight,"Water at the base, avoiding wetting the foliage",1-1.5 liters per day,Remove infected leaves and apply copper-based fungicides
Tomato_Early_blight,6-8 hours of direct sunlight,"Water deeply, allowing soil to dry between waterings",1.5-2 liters per day,Apply fungicides and remove affected leaves
Tomato_Late_blight,6-8 hours of direct sunlight,Keep soil evenly moist but avoid overwatering,1.5-2 liters per day,Use resistant varieties and apply appropriate fungicides
Tomato_Leaf_Mold,6-8 hours of direct sunlight,"Water at the base, keeping foliage dry",1.5-2 liters per day,Improve air circulation and apply fungicides
Tomato_Septoria_leaf_spot,6-8 hours of direct sunlight,"Water at the base, avoiding wetting the foliage",1.5-2 liters per day,Remove infected leaves and apply fungicides
Tomato_Spider_mites_Two_spotted_spider_mite,6-8 hours of direct sunlight,Maintain consistent soil moisture,1-1.5 liters per day,Use insecticidal soaps or miticides
Tomato__Target_Spot,6-8 hours of direct sunlight,"Water at the base, avoiding wetting the foliage",1.5-2 liters per day,Remove infected leaves and apply fungicides
Tomato__Tomato_YellowLeaf__Curl_Virus,6-8 hours of direct sunlight,"Water regularly, keeping soil evenly moist",1.5-2 liters per day,Remove affected plants and control whitefly population
Tomato__Tomato_mosaic_virus,6-8 hours of direct sunlight,Keep soil consistently moist,1-1.5 liters per day,"Remove and destroy infected plants, practice crop rotation"
Tomato_healthy,6-8 hours of direct sunlight,Water when the top 1 inch of soil is dry,1.5 liters per day,"No disease detected, maintain healthy growth practices"
